year_film,year_ceremony,film,count of year_ceremony,budget,opening_gross,usa_gross,ww_gross,imdb,metacritic,rm_critics,rm_audience,note
1990,1991,A Grand Day Out,1,15290,,,,7.8,,100,87,budget £/no info
1990,1991,Alice,1,12000000,36274,7331647,7331647,6.6,67,75,57,
1990,1991,American Dream,1,,9291,269823,269823,7.9,,100,88,no info
1990,1991,Avalon,4,20000000,226613,15740796,15779578,7.2,68,85,87,
1990,1991,Awakenings,3,31000000,417076,52096475,52096475,7.8,74,88,89,
1990,1991,Berkeley in the Sixties,1,,,,,7.5,,100,76,no info
1990,1991,Bronx Cheers,1,,,,,6.8,,,,no info
1990,1991,Building Bombs,1,,,,,6.2,,,,no info
1990,1991,Burning Down Tomorrow,1,,,,,7.7,,,,no info
1990,1991,Chimps: So Like Us,1,,,,,7.1,,,,no info
1990,1991,Creature Comforts,1,,,112175,112175,7.7,69,93,81,no info
1990,1991,Cyrano de Bergerac,5,15300000,,5820020,5822041,7.5,79,100,90,no info
1990,1991,Dances With Wolves,12,22000000,598257,184208848,424208848,8,72,83,87,
1990,1991,Days of Thunder,1,60000000,15490445,82670733,157920733,6.1,60,38,60,
1990,1991,Days of Waiting,1,,,,,7.6,,,,no info
1990,1991,Dear Rosie,1,,,,,6.5,,,,no info
1990,1991,Dick Tracy,7,47000000,22543911,103738726,162738726,6.1,68,63,53,
1990,1991,Edward Scissorhands,1,20000000,159622,56362352,86024005,7.9,74,90,91,
1990,1991,Flatliners,1,26000000,10034685,61489265,##################,6.6,55,49,59,
1990,1991,Forever Activists: Stories from the Veterans of the Abraham Lincoln Brigade,1,,,,,5.8,,,,no info
1990,1991,Ghost,5,22000000,12191540,217631306,505703557,7.1,52,74,80,
1990,1991,Good Fellas,6,25000000,6368901,46836214,46952991,8.7,90,96,97,
1990,1991,Grasshoppers (Cavallette),1,,,,,7.3,,,,no info
1990,1991,Green Card,1,12500000,47781,29888235,29888235,6.3,58,60,50,
1990,1991,Hamlet,2,12600000,116975,20710451,20710451,6.7,53,76,59,
1990,1991,Havana,1,40000000,2175360,9243140,9645440,6.1,,28,57,no info
1990,1991,Henry & June,1,v,1032942,11567449,23472449,6.3,62,62,68,no info
1990,1991,Home Alone,2,18000000,17081997,285761243,476684675,7.6,63,67,80,
1990,1991,Journey into Life: The World of the Unborn,1,,,,,6.2,,,,no info
1990,1991,Journey of Hope,1,,12489,261718,261718,7.5,,83,84,no info
1990,1991,Ju Dou,1,,10300,1986433,1986433,7.6,,100,89,no info
1990,1991,Longtime Companion,1,3000000,50525,4609953,4609953,7.5,,89,83,no info
1990,1991,Metropolitan,1,230000,46663,2960492,2960492,7.4,77,93,85,
1990,1991,Misery,1,20000000,10076834,61276872,61276872,7.8,75,90,90,
1990,1991,Mr. & Mrs. Bridge,1,,57959,7698010,7698010,6.6,73,80,43,no info
1990,1991,Open Doors,1,,15726,123470,123470,7.1,,,88,no info
1990,1991,Postcards from the Edge,2,22000000,7871856,39071603,39071603,6.7,71,84,66,
1990,1991,Pretty Woman,1,14000000,11280591,178406268,463406268,7,51,64,68,
1990,1991,Reversal of Fortune,3,,176985,15445131,15445131,7.2,93,92,78,no info
1990,1991,Rose Kennedy: A Life to Remember,1,,,,,5.8,,,,no info
1990,1991,Senzeni Na? (What Have We Done?),1,,,,,7,,,,no info
1990,1991,The Field,1,7650000,27948,1494399,1494399,7.4,,43,81,"budget IEP, no info"
1990,1991,"The Godfather, Part III",7,54000000,6387271,66761392,136861392,7.6,60,68,62,
1990,1991,The Grifters,4,,71034,13446769,13446769,6.9,86,91,70,no info
1990,1991,The Hunt for Red October,3,30000000,17161835,122012643,200512643,7.6,58,89,88,
1990,1991,The Lunch Date,1,,,,,7.5,,,,no info
1990,1991,The Nasty Girl,1,,19491,2281569,2293625,7.3,,67,74,no info
1990,1991,Total Recall,3,65000000,25533700,119412921,261317921,7.5,57,82,78,
1990,1991,Waldo Salt: A Screenwriter's Journey,1,,,,,7.1,,,,no info
1990,1991,Wild at Heart,1,9500000,2913764,14560247,14561425,7.2,52,67,81,
1990,1991,Young Guns II,1,20000000,8017438,44143410,44143410,6.5,47,35,66,
1990,1991,12:01:00 PM,1,,,,,7.6,,,,no info
1991,1992,A Little Vicious,1,,,,,7.8,,,,no info
1991,1992,Backdraft,3,40000000,12686200,77868585,152368585,6.7,38,74,75,
1991,1992,Barton Fink,3,9000000,268561,6153939,6153939,7.7,69,90,89,
1991,1992,Beauty and the Beast,6,25000000,162146,218967620,424967620,8,95,94,92,
1991,1992,Birch Street Gym,1,,,,,6.1,,,,no info
1991,1992,Birdnesters of Thailand (aka 'Shadow Hunters'),1,,,,,7.6,,,,no info
1991,1992,Blackfly,1,,,,,6.5,,,,no info
1991,1992,Boyz N the Hood,2,6500000,10023462,57504069,57529070,7.8,76,96,93,
1991,1992,Bugsy,10,30000000,140358,49114016,49114016,6.8,80,85,69,
1991,1992,Cape Fear,2,35000000,10261025,79091969,182291969,7.3,73,75,77,
1991,1992,Children of Nature,1,,,,,7.3,,,81,
1991,1992,City Slickers,1,27000000,13032121,124033791,179033791,6.8,70,90,64,
1991,1992,"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1,,,,,5.3,,,,no info
1991,1992,Death on the Job,1,,,,,7.5,,,,no info
1991,1992,Doing Time: Life inside the Big House,1,,,,,7.3,,,,no info
1991,1992,Europa Europa,1,,"31,433, 30",5575738,5575738,7.6,,95,91,no info
1991,1992,For the Boys,1,40000000,71348,17860280,23202444,6.4,,43,75,no info
1991,1992,Fried Green Tomatoes,2,11000000,105317,82418501,119418501,7.7,64,74,91,
1991,1992,Grand Canyon,1,,67546,33243020,40991329,6.9,64,77,70,no info
1991,1992,Hook,5,70000000,13522535,119654823,300854823,6.8,52,29,76,
