year_film,year_ceremony,film,count of year_ceremony,,opening_gross,usa_gross,ww_gross,imdb,metacritic,rm_critics,rm_audience,winner
1990,1991,Alice,1,12000000,"36,274","7,331,647","7,331,647",6.6,67,75,57,
1990,1991,Avalon,4,20000000,"226,613","15,740,796","15,779,578",7.2,68,85,87,
1990,1991,Awakenings,3,31000000,"417,076","52,096,475","52,096,475",7.8,74,88,89,
1990,1991,Dances With Wolves,12,22000000,"598,257","184,208,848","424,208,848",8,72,83,87,TRUE
1990,1991,Days of Thunder,1,60000000,"15,490,445","82,670,733","157,920,733",6.1,60,38,60,
1990,1991,Dick Tracy,7,47000000,"22,543,911","103,738,726","162,738,726",6.1,68,63,53,TRUE
1990,1991,Edward Scissorhands,1,20000000,"159,622","56,362,352","86,024,005",7.9,74,90,91,
1990,1991,Flatliners,1,26000000,"10,034,685","61,489,265","61,489,265",6.6,55,49,59,
1990,1991,Ghost,5,22000000,"12,191,540","217,631,306","505,703,557",7.1,52,74,80,TRUE
1990,1991,Good Fellas,6,25000000,"6,368,901","46,836,214","46,952,991",8.7,90,96,97,
1990,1991,Green Card,1,12500000,"47,781","29,888,235","29,888,235",6.3,58,60,50,
1990,1991,Hamlet,2,12600000,"116,975","20,710,451","20,710,451",6.7,53,76,59,
1990,1991,Home Alone,2,18000000,"17,081,997","285,761,243","476,684,675",7.6,63,67,80,
1990,1991,Metropolitan,1,230000,"46,663","2,960,492","2,960,492",7.4,77,93,85,
1990,1991,Misery,1,20000000,"10,076,834","61,276,872","61,276,872",7.8,75,90,90,
1990,1991,Postcards from the Edge,2,22000000,"7,871,856","39,071,603","39,071,603",6.7,71,84,66,
1990,1991,Pretty Woman,1,14000000,"11,280,591","178,406,268","463,406,268",7,51,64,68,
1990,1991,"The Godfather, Part III",7,54000000,"6,387,271","66,761,392","136,861,392",7.6,60,68,62,
1990,1991,The Hunt for Red October,3,30000000,"17,161,835","122,012,643","200,512,643",7.6,58,89,88,
1990,1991,Total Recall,3,65000000,"25,533,700","119,412,921","261,317,921",7.5,57,82,78,
1990,1991,Wild at Heart,1,9500000,"2,913,764","14,560,247","14,561,425",7.2,52,67,81,
1990,1991,Young Guns II,1,20000000,"8,017,438","44,143,410","44,143,410",6.5,47,35,66,
1991,1992,Backdraft,3,40000000,"12,686,200","77,868,585","152,368,585",6.7,38,74,75,
1991,1992,Barton Fink,3,9000000,"268,561","6,153,939","6,153,939",7.7,69,90,89,
1991,1992,Beauty and the Beast,6,25000000,"162,146","218,967,620","424,967,620",8,95,94,92,
1991,1992,Boyz N the Hood,2,6500000,"10,023,462","57,504,069","57,529,070",7.8,76,96,93,
1991,1992,Bugsy,10,30000000,"140,358","49,114,016","49,114,016",6.8,80,85,69,
1991,1992,Cape Fear,2,35000000,"10,261,025","79,091,969","182,291,969",7.3,73,75,77,
1991,1992,City Slickers,1,27000000,"13,032,121","124,033,791","179,033,791",6.8,70,90,64,
1991,1992,Fried Green Tomatoes,2,11000000,"105,317","82,418,501","119,418,501",7.7,64,74,91,
1991,1992,Hook,5,70000000,"13,522,535","119,654,823","300,854,823",6.8,52,29,76,
1991,1992,JFK,8,40000000,"5,223,658","70,405,498","205,405,498",8,72,84,88,
1991,1992,Robin Hood: Prince of Thieves,1,48000000,"25,625,602","165,493,908","390,493,908",6.9,51,51,72,
1991,1992,Star Trek VI The Undiscovered Country,2,30000000,"18,162,837","74,888,996","96,888,996",7.2,65,82,83,
1991,1992,Terminator 2: Judgment Day,6,102000000,"31,765,506","205,881,154","520,881,154",8.5,75,93,94,
1991,1992,The Addams Family,1,30000000,"24,203,754","113,502,426","191,502,426",6.9,57,64,66,
1991,1992,The Commitments,1,12000000,"271,333","14,919,570","14,919,570",7.6,73,89,90,
1991,1992,The Fisher King,5,24000000,"311,662","41,895,491","41,895,491",7.5,61,84,86,
1991,1992,The Prince of Tides,7,30000000,"10,035,412","74,787,599","74,787,599",6.8,65,70,70,
1991,1992,The Silence of the Lambs,7,19000000,"13,766,814","130,742,922","272,742,922",8.6,85,96,95,
1991,1992,Thelma & Louise,6,16500000,"6,101,297","45,360,915","45,454,537",7.5,88,85,82,
1992,1993,A Few Good Men,4,41000000,"15,517,468","141,340,178","243,240,178",7.7,62,83,89,
1992,1993,A River Runs through It,3,12000000,"298,277","43,440,294","43,440,294",7.2,68,80,83,
1992,1993,Aladdin,5,28000000,"196,664","217,350,219","504,050,219",8,86,95,92,
1992,1993,Alien 3,1,50000000,"19,449,867","55,473,545","159,814,498",6.5,59,45,47,
1992,1993,Basic Instinct,2,49000000,"15,129,385","117,727,224","352,927,224",7,41,54,63,
1992,1993,Batman Returns,2,80000000,"45,687,711","162,902,340","266,892,996",7,68,80,73,
1992,1993,Bram Stoker's Dracula,4,40000000,"30,521,679","82,522,790","215,862,692",7.4,57,74,79,
1992,1993,Chaplin,3,31000000,"84,669","9,493,259","9,493,259",7.6,47,59,81,
1992,1993,Death Becomes Her,1,55000000,"12,110,355","58,422,650","149,022,650",6.6,56,55,61,
1992,1993,Glengarry Glen Ross,1,12500000,"2,104,402","10,725,228","10,725,228",7.7,82,95,88,
1992,1993,Hoffa,2,35000000,"6,406,012","24,276,506","29,302,121",6.6,50,52,59,
1992,1993,Husbands and Wives,2,20000000,"3,520,550","10,555,619","10,555,619",7.5,84,93,87,
1992,1993,Lorenzo's Oil,2,30000000,"79,353","7,286,388","7,286,388",7.3,80,92,79,
1992,1993,Malcolm X,2,33000000,"9,871,125","48,169,910","48,169,910",7.7,73,89,91,
1992,1993,My Cousin Vinny,1,11000000,"7,416,751","52,929,168","64,088,552",7.6,68,86,87,
1992,1993,Scent of a Woman,4,31000000,"357,468","63,095,253","134,095,253",8,59,89,92,
1992,1993,The Bodyguard,2,25000000,"16,611,793","122,006,740","411,006,740",6.3,39,33,64,
