year_film,film,budget,imdb
1990,Alice,12000000,6.6
1990,Avalon,20000000,7.2
1990,Awakenings,31000000,7.8
1990,Dances With Wolves,22000000,8
1990,Days of Thunder,60000000,6.1
1990,Dick Tracy,47000000,6.1
1990,Edward Scissorhands,20000000,7.9
1990,Flatliners,26000000,6.6
1990,Ghost,22000000,7.1
1990,Good Fellas,25000000,8.7
1990,Green Card,12500000,6.3
1990,Hamlet,12600000,6.7
1990,Home Alone,18000000,7.6
1990,Metropolitan,230000,7.4
1990,Misery,20000000,7.8
1990,Postcards from the Edge,22000000,6.7
1990,Pretty Woman,14000000,7
1990,"The Godfather, Part III",54000000,7.6
1990,The Hunt for Red October,30000000,7.6
1990,Total Recall,65000000,7.5
1990,Wild at Heart,9500000,7.2
1990,Young Guns II,20000000,6.5
1991,Backdraft,40000000,6.7
1991,Barton Fink,9000000,7.7
1991,Beauty and the Beast,25000000,8
1991,Boyz N the Hood,6500000,7.8
1991,Bugsy,30000000,6.8
1991,Cape Fear,35000000,7.3
1991,City Slickers,27000000,6.8
1991,Fried Green Tomatoes,11000000,7.7
1991,Hook,70000000,6.8
1991,JFK,40000000,8
1991,Robin Hood: Prince of Thieves,48000000,6.9
1991,Star Trek VI The Undiscovered Country,30000000,7.2
1991,Terminator 2: Judgment Day,102000000,8.5
1991,The Addams Family,30000000,6.9
1991,The Commitments,12000000,7.6
1991,The Fisher King,24000000,7.5
1991,The Prince of Tides,30000000,6.8
1991,The Silence of the Lambs,19000000,8.6
1991,Thelma & Louise,16500000,7.5
1992,A Few Good Men,41000000,7.7
1992,A River Runs through It,12000000,7.2
1992,Aladdin,28000000,8
1992,Alien 3,50000000,6.5
1992,Basic Instinct,49000000,7
1992,Batman Returns,80000000,7
1992,Bram Stoker's Dracula,40000000,7.4
1992,Chaplin,31000000,7.6
1992,Death Becomes Her,55000000,6.6
1992,Glengarry Glen Ross,12500000,7.7
1992,Hoffa,35000000,6.6
1992,Husbands and Wives,20000000,7.5
1992,Lorenzo's Oil,30000000,7.3
1992,Malcolm X,33000000,7.7
1992,My Cousin Vinny,11000000,7.6
1992,Scent of a Woman,31000000,8
1992,The Bodyguard,25000000,6.3
1992,The Last of the Mohicans,40000000,7.7
1992,Toys,43000000,5.1
1992,Under Siege,35000000,6.5
1992,Unforgiven,14400000,8.2
